Employer_Name,EIN,State,Participants,Plan_Year,Plan_Name,Self_Insured,Market_Segment
BOSE CORPORATION,42655386,MA,1684.0,2024,BOSE CORPORATION 2009 SEVERANCE PLAN,Y,Mid-Market (500-5K)
"NATIXIS INVESTMENT MANAGERS, LLC",134146043,MA,1683.0,2024,"401(K) SAVINGS AND RETIREMENT PLAN, SPONSORED BY NATIXIS INVESTMENT MANAGERS, LLC",Y,Mid-Market (500-5K)
"MONSTER WORLDWIDE, LLC.",133906555,MA,1670.0,2024,MONSTER WORLDWIDE INC. 401(K) SAVINGS PLAN,Y,Mid-Market (500-5K)
"MACOM TECHNOLOGY SOLUTIONS HOLDINGS, INC.",270306875,MA,1670.0,2024,"MACOM TECHNOLOGY SOLUTIONS HOLDINGS, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"AMERESCO, INC.",43512838,MA,1669.0,2024,"AMERESCO, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
PRECISELY SOFTWARE INCORPORATED,221854351,MA,1658.0,2024,PRECISELY SOFTWARE INCORPORATED 401(K) PLAN,Y,Mid-Market (500-5K)
THE MANUFACTURERS INVESTMENT CORPORATION,383261832,MA,1638.0,2024,JOHN HANCOCK RETIREE HEALTH REIMBURSEMENT ACCOUNT PLAN,Y,Mid-Market (500-5K)
SHARKNINJA MANAGEMENT COMPANY,383685665,MA,1616.0,2024,SHARKNINJA MANAGEMENT COMPANY EMPLOYEES SAVINGS PLAN,Y,Mid-Market (500-5K)
GID INVESTMENT ADVISERS LLC,800081966,MA,1611.0,2024,GID INVESTMENT ADVISERS SAVINGS & RETIREMENT PLAN,Y,Mid-Market (500-5K)
"WORLDWIDE TECHSERVICES, LLC",134114547,MA,1608.0,2024,WORLDWIDE TECHSERVICES RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
BOARD OF TRUSTEES IUOE LOCAL 98 PENSION PLAN,46127765,MA,1604.0,2024,IUOE LOCAL 98 PENSION PLAN,Y,Mid-Market (500-5K)
"CONSIGLI CONSTRUCTION CO., INC.",42088291,MA,1582.0,2024,"CONSIGLI CONSTRUCTION CO., INC. PROFIT SHARING/401(K) PLAN AND TRUST",Y,Mid-Market (500-5K)
"SAPPI NORTH AMERICA, INC.",232366983,MA,1578.0,2024,"SAPPI NORTH AMERICA, INC. HOURLY INVESTMENT PLAN",Y,Mid-Market (500-5K)
"BOSTON GLOBE MEDIA PARTNERS, LLC",463494661,MA,1573.0,2024,"THE BOSTON GLOBE MEDIA PARTNERS, LLC RETIREMENT SAVINGS PLAN",Y,Mid-Market (500-5K)
ARBELLA MUTUAL INSURANCE COMPANY,43022050,MA,1568.0,2024,ARBELLA 401(K) SAVINGS PLAN,Y,Mid-Market (500-5K)
"SAREPTA THERAPEUTICS, INC.",930797222,MA,1568.0,2024,"SAREPTA THERAPEUTICS, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"TRIUMVIRATE ENVIRONMENTAL, INC.",43017601,MA,1563.0,2024,"TRIUMVIRATE ENVIRONMENTAL, INC. SAVINGS, PROFIT SHARING & RETIREMENT PLAN",Y,Mid-Market (500-5K)
REPLIGEN CORPORATION,42729386,MA,1559.0,2024,REPLIGEN 401(K) SAVINGS PLAN,Y,Mid-Market (500-5K)
BALISE MOTOR SALES COMPANY,550811490,MA,1552.0,2024,BALISE MOTOR SALES COMPANY 401(K) RETIREMENT PLAN,Y,Mid-Market (500-5K)
"NEXT STEP HEALTHCARE, LLC",263581415,MA,1545.0,2024,NEXT STEP HEALTHCARE 401(K) PLAN,Y,Mid-Market (500-5K)
"EPOCH SENIOR LIVING, LLC",208907071,MA,1532.0,2024,EPOCH SENIOR LIVING 401(K) PLAN,Y,Mid-Market (500-5K)
"INDEPENDENCE COMMUNITY BANK C/O SANTANDER HOLDINGS USA, INC.",111350490,MA,1522.0,2024,INDEPENDENCE COMMUNITY BANK EMPLOYEES RETIREMENT PLAN,Y,Mid-Market (500-5K)
PRIMARK US CORP.,471063988,MA,1512.0,2024,PRIMARK US 401(K) PLAN,Y,Mid-Market (500-5K)
"AXCELIS TECHNOLOGIES, INC.",341818596,MA,1506.0,2024,"AXCELIS TECHNOLOGIES, INC. LONG-TERM INVESTMENT PLAN",Y,Mid-Market (500-5K)
LILY TRANSPORTATION CORP.,42783881,MA,1502.0,2024,LILY TRANSPORTATION CORP. 401(K) PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
"BUFFALO LODGING ASSOCIATES, LLC",161585175,MA,1498.0,2024,BUFFALO LODGING ASSOCIATES LLC RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
NOVA BIOMEDICAL CORPORATION,42592580,MA,1496.0,2024,NOVA EMPLOYEE SAVINGS TRUST (N.E.S.T.),Y,Mid-Market (500-5K)
"SULLIVAN INVESTMENT CO., INC.",42682840,MA,1489.0,2024,859 US EMPLOYEE STOCK OWNERSHIP PLAN,Y,Mid-Market (500-5K)
COGNEX CORPORATION,42713778,MA,1489.0,2024,COGNEX CORPORATION EMPLOYEE SAVINGS PLAN,Y,Mid-Market (500-5K)
EXCELITAS TECHNOLOGIES,611624649,MA,1486.0,2024,EXCELITAS TECHNOLOGIES SAVINGS PLAN,Y,Mid-Market (500-5K)
COMMONWEALTH FINANCIAL NETWORK,42675571,MA,1480.0,2024,COMMONWEALTH FINANCIAL NETWORK 401(K) P/S PLAN,Y,Mid-Market (500-5K)
"CONSTANT CONTACT, INC.",43285398,MA,1475.0,2024,CONSTANT CONTACT INC. 401K PLAN,Y,Mid-Market (500-5K)
"WORLD TRAVEL HOLDINGS, INC.",43259479,MA,1435.0,2024,"WORLD TRAVEL HOLDINGS, INC. 401(K) SAVINGS PLAN",Y,Mid-Market (500-5K)
BD OF TRUSTEES-HEAT & FROST INSULATORS AND ALLIED WORKERS LOCAL 6 PEN,516135057,MA,1416.0,2024,HEAT & FROST INSULATORS AND ALLIED WORKERS LOCAL 6 PENSION FUND,Y,Mid-Market (500-5K)
"SHIELDS HEALTH CARE GROUP, INC.",42974694,MA,1413.0,2024,SHIELDS HEALTH CARE GROUP 401(K) PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
"CITY YEAR, INC.",222882549,MA,1410.0,2024,CITY YEAR 401(K) SAVINGS PLAN,Y,Mid-Market (500-5K)
AMERICAN WELL CORPORATION,205009396,MA,1404.0,2024,AMERICAN WELL CORPORATION 401(K) PLAN,Y,Mid-Market (500-5K)
KADANT INC.,521762325,MA,1396.0,2024,THE KADANT INC. 401(K) RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
"WIND RIVER ENVIRONMENTAL, LLC",43487677,MA,1393.0,2024,WIND RIVER ENVIRONMENTAL 401(K) PLAN,Y,Mid-Market (500-5K)
"CARGURUS, INC.",43843478,MA,1389.0,2024,"CARGURUS, INC. 401(K) PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
IROBOT CORPORATION,770259335,MA,1375.0,2024,IROBOT FUND FOR THE FUTURE 401(K) PLAN,Y,Mid-Market (500-5K)
"GEI CONSULTANTS, INC.",42468348,MA,1375.0,2024,GEI PROFIT SHARING AND 401(K) PLAN,Y,Mid-Market (500-5K)
"OCEAN SPRAY CRANBERRIES, INC.",41215610,MA,1369.0,2024,"SAVINGS PLAN FOR SALARIED EMPLOYEES OF OCEAN SPRAY CRANBERRIES, INC.",Y,Mid-Market (500-5K)
"RTS HOLDINGS, LLC",461578437,MA,1360.0,2024,"RTS HOLDINGS, LLC 401(K) RETIREMENT PLAN",Y,Mid-Market (500-5K)
"RGG SERVICES, INC.",43505021,MA,1360.0,2024,RUE GILT GROUPE 401K PLAN,Y,Mid-Market (500-5K)
"AGRI-MARK, INC.",42704972,MA,1357.0,2024,"AGRI-MARK, INC. RETIREMENT SAVINGS PLAN",Y,Mid-Market (500-5K)
"MOTIONAL AD, INC.",473952152,MA,1356.0,2024,MOTIONAL AD RETIREMENT SAVINGS PROGRAM,Y,Mid-Market (500-5K)
ENSTRUCTURE LLC,813444562,MA,1346.0,2024,ENSTRUCTURE 401(K) PLAN,Y,Mid-Market (500-5K)
"SOVOS COMPLIANCE, LLC",461379693,MA,1344.0,2024,"SOVOS COMPLIANCE, LLC 401(K) RETIREMENT PLAN",Y,Mid-Market (500-5K)
DIESEL DIRECT,43280313,MA,1321.0,2024,FUELLOC 401(K),Y,Mid-Market (500-5K)
"JSI RESEARCH & TRAINING INSTITUTE, INC.",42679824,MA,1303.0,2024,"JSI RESEARCH & TRAINING INSTITUTE, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"BULLHORN, INC.",43489916,MA,1293.0,2024,"BULLHORN, INC. 401(K) PROFIT SHARING PLAN AND TRUST",Y,Mid-Market (500-5K)
"CYBERARK SOFTWARE, INC.",522215591,MA,1274.0,2024,"CYBERARK SOFTWARE, INC. 401K PLAN",Y,Mid-Market (500-5K)
"ROCKET SOFTWARE, INC.",43090800,MA,1274.0,2024,"ROCKET SOFTWARE, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"BG-IC, LLC",161758404,MA,1271.0,2024,BERKSHIRE GROUP 401(K) PLAN,Y,Mid-Market (500-5K)
NEW ENGLAND AUTHENTIC EATS LLC,611905885,MA,1271.0,2024,NEW ENGLAND AUTHENTIC EATS 401(K) PLAN,Y,Mid-Market (500-5K)
ORGANOGENESIS INC.,42871690,MA,1265.0,2024,ORGANOGENESIS INC. 401K SAVINGS PLAN,Y,Mid-Market (500-5K)
"BROOKS AUTOMATION US, LLC.",871631677,MA,1263.0,2024,"BROOKS AUTOMATION US, LLC. 401(K) PLAN",Y,Mid-Market (500-5K)
GIRI HOTEL MANAGEMENT LLC,205727010,MA,1241.0,2024,GIRI HOTEL MANAGEMENT LLC 401(K) PLAN,Y,Mid-Market (500-5K)
INSIGHT SERVICE GROUP INC,43280934,MA,1238.0,2024,INSIGHT SERVICE GROUP INC 401(K) PLAN,Y,Mid-Market (500-5K)
THE GILLETTE COMPANY LLC,813268325,MA,1219.0,2024,THE GILLETTE COMPANY EMPLOYEE STOCK OWNERSHIP PLAN,Y,Mid-Market (500-5K)
"MEXICHEM USA, INC.",300912258,MA,1211.0,2024,ORBIA 401(K) PLAN,Y,Mid-Market (500-5K)
"YEAR UP, INC.",43534407,MA,1205.0,2024,"YEAR UP, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"IMPRIVATA, INC.",43560178,MA,1198.0,2024,"IMPRIVATA, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"CORPORATE FINANCE GROUP, INC.",43545708,MA,1197.0,2024,CFGI 401(K) PLAN,Y,Mid-Market (500-5K)
"NATIONAL AMUSEMENTS, INC.",42261332,MA,1183.0,2024,NATIONAL AMUSEMENTS 401(K) PLAN,Y,Mid-Market (500-5K)
"SOPHOS, INC",43328310,MA,1179.0,2024,"SOPHOS, INC 401(K) SAVINGS PLAN",Y,Mid-Market (500-5K)
"ENGAGESMART, INC.",832785225,MA,1163.0,2024,"ENGAGESMART, INC. 401(K) RETIREMENT PLAN",Y,Mid-Market (500-5K)
UMASS MEMORIAL HEALTH,42626179,MA,1150.0,2024,COMMUNITY HEALTHLINK SECTION 401(K) PLAN,Y,Mid-Market (500-5K)
"MIMECAST NORTH AMERICA, INC.",260851633,MA,1147.0,2024,"MIMECAST NORTH AMERICA, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
DESTINATION XL GROUP INC.,42623104,MA,1142.0,2024,DESTINATION XL GROUP INC. HEALTH INSURANCE PLAN,Y,Mid-Market (500-5K)
"KINETIC ENGINE SYSTEMS, INC.",843168804,MA,1137.0,2024,KINETIC ENGINE SYSTEMS 401(K) PLAN,Y,Mid-Market (500-5K)
"SAMSONITE, LLC",363511556,MA,1131.0,2024,SAMSONITE EMPLOYEE SAVINGS TRUST,Y,Mid-Market (500-5K)
INTERSYSTEMS CORPORATION,42639026,MA,1130.0,2024,INTERSYSTEMS CORPORATION 401(K) PROFIT SHARING RETIREMENT PLAN,Y,Mid-Market (500-5K)
PERKINS SCHOOL FOR THE BLIND,42103616,MA,1123.0,2024,PERKINS SCHOOL FOR THE BLIND RETIREMENT PLAN,Y,Mid-Market (500-5K)
"BP MANAGEMENT, L.P.",43377269,MA,1116.0,2024,BOSTON PROPERTIES RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
"DANIEL J. QUIRK, INC.",42556454,MA,1108.0,2024,DANIEL J. QUIRK INC. RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
"TECHTARGET, INC.",43483216,MA,1107.0,2024,"TECHTARGET, INC. 401(K) RETIREMENT SAVINGS PLAN",Y,Mid-Market (500-5K)
GRAND CIRCLE LLC,43461496,MA,1102.0,2024,GRAND CIRCLE LLC 401(K) PLAN,Y,Mid-Market (500-5K)
"LANTHEUS MEDICAL IMAGING, INC.",510396366,MA,1100.0,2024,"LANTHEUS MEDICAL IMAGING, INC. RETIREMENT SAVINGS PLAN",Y,Mid-Market (500-5K)
ARVATO USA LLC,261196005,MA,1094.0,2024,ARVATO USA LLC SEVERANCE PLAN,Y,Mid-Market (500-5K)
"THE TALBOTS, LLC",411111318,MA,1088.0,2024,"THE TALBOTS, INC. PENSION PLAN",Y,Mid-Market (500-5K)
"GZA GEOENVIRONMENTAL TECHNOLOGIES, INC.",42393851,MA,1082.0,2024,GZA RESTATED 401(K) PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
CARTAMUNDI EAST LONGMEADOW LLC,474232142,MA,1080.0,2024,CARTAMUNDI NORTH AMERICA 401(K) PLAN,Y,Mid-Market (500-5K)
TRUSTEES OF BOSTON COLLEGE,42103545,MA,1071.0,2024,BOSTON COLLEGE FLEXIBLE SPENDING ACCOUNT PLAN,Y,Mid-Market (500-5K)
"LOOMIS, SAYLES & COMPANY, L.P.",43200030,MA,1056.0,2024,"LOOMIS, SAYLES & COMPANY, L.P. EMPLOYEES' PROFIT SHARING RETIREMENT PLAN",Y,Mid-Market (500-5K)
SIMPSON GUMPERTZ & HEGER INC.,42256923,MA,1050.0,2024,SGH PROFIT SHARING & 401(K) PLAN AND TRUST,Y,Mid-Market (500-5K)
THE BOSTON SCHOOL BUS DRIVERS' DEFERRED RTMT & SVGS PLAN COMMITTEE,810859358,MA,1048.0,2024,BOSTON SCHOOL BUS DRIVERS DEFERRED RETIREMENT AND SAVINGS PLAN,Y,Mid-Market (500-5K)
BERKSHIRE HATHAWAY SPECIALTY INS,630202590,MA,1047.0,2024,BERKSHIRE HATHAWAY SPECIALTY INSURANCE COMPANY RETIREMENT PLA,Y,Mid-Market (500-5K)
"HARBOURVEST PARTNERS, LLC",43335829,MA,1041.0,2024,"HARBOURVEST PARTNERS, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
"BUYERS EDGE PLATFORM OPCO, LLC",831806215,MA,1039.0,2024,BUYERS EDGE PLATFORM 401(K) PLAN,Y,Mid-Market (500-5K)
"AVID TECHNOLOGY, INC.",42977748,MA,1033.0,2024,"AVID TECHNOLOGY, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"REIFY HEALTH, INC.",455004365,MA,1031.0,2024,"REIFY HEALTH, INC. RETIREMENT SAVINGS PLAN",Y,Mid-Market (500-5K)
"HEILIND ELECTRONICS, INC.",42534289,MA,1026.0,2024,"HEILIND ELECTRONICS, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"MAMARY, INC.",43348445,MA,1022.0,2024,ROYAL HEALTH GROUP 401(K) PLAN,Y,Mid-Market (500-5K)
"COGHLIN COMPANIES, INC.",42923301,MA,1018.0,2024,COGHLIN COMPANIES EMPLOYEE PROFIT SHARING PLAN AND TRUST,Y,Mid-Market (500-5K)
ANALOGIC CORPORATION,42454372,MA,1014.0,2024,ANALOGIC 401(K) PLAN,Y,Mid-Market (500-5K)
PIPEFITTERS UNION LOCAL #537 - VACATION FUND,237255451,MA,1011.0,2024,PIPEFITTERS UNION LOCAL 537 VACATION FUND,Y,Mid-Market (500-5K)
"REBUILD MANUFACTURING, LLC",851310086,MA,1009.0,2024,REBUILD MANUFACTURING 401(K) PLAN,Y,Mid-Market (500-5K)
CONNECTRN INC.,465458752,MA,1009.0,2024,CONNECTRN INC. 401(K) PLAN,Y,Mid-Market (500-5K)
"PA CONSULTING GROUP, INC.",222287449,MA,1003.0,2024,"PA CONSULTING GROUP, INC. SALARY SAVINGS PLAN",Y,Mid-Market (500-5K)
"VERACODE, INC.",260126281,MA,998.0,2024,"VERACODE, INC. 401K PLAN",Y,Mid-Market (500-5K)
SALEM FIVE CENTS SAVINGS BANK,41802790,MA,994.0,2024,SALEM FIVE 401(K) RETIREMENT PLAN,Y,Mid-Market (500-5K)
"ENERGY NORTH, INC.",42748522,MA,992.0,2024,ENERGY NORTH RETIREMENT PLAN,Y,Mid-Market (500-5K)
CREATIVE FINANCIAL STAFFING INC.,471008886,MA,990.0,2024,CREATIVE FINANCIAL STAFFING 401(K) PLAN,Y,Mid-Market (500-5K)
COMBINED WELLNESS ACQUISITION CO. AND SUBSIDIARIES,833046532,MA,988.0,2024,COMBINED WELLNESS 401(K) PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
"ALLIANCE HEALTH, INC.",43468274,MA,985.0,2024,"ALLIANCE HEALTH, INC. RETIREMENT PLAN",Y,Mid-Market (500-5K)
POINT32HEALTH,42734278,MA,976.0,2024,"HEALTH PLANS, INC. 401(K) & PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
"ACQUIA, INC.",260493001,MA,971.0,2024,"ACQUIA, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"BROCKTON HOSPITAL, INC.",222472997,MA,965.0,2024,SIGNATURE HEALTHCARE RETIREMENT PLAN C,Y,Mid-Market (500-5K)
"INDIGO AG, INC.",464051206,MA,957.0,2024,"INDIGO AG, INC. 401K PLAN",Y,Mid-Market (500-5K)
NORTHLAND INVESTMENT CORPORATION,223137052,MA,954.0,2024,NORTHLAND INVESTMENT CORPORATION 401(K) PLAN,Y,Mid-Market (500-5K)
"QUICKBASE, INC.",811510345,MA,952.0,2024,"QUICKBASE, INC 401(K) PLAN",Y,Mid-Market (500-5K)
"BLACK DUCK SOFTWARE, INC.",320076720,MA,951.0,2024,"BLACK DUCK SOFTWARE, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
WESTON & SAMPSON,42601194,MA,946.0,2024,WESTON & SAMPSON 401(K) AND PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
INTERSTATE ELECTRICAL SERVICES CORPORATION,42393971,MA,936.0,2024,INTERSTATE ELECTRICAL SERVICES CORPORATION 401(K) PLAN,Y,Mid-Market (500-5K)
"BROOKLINE BANCORP, INC",43402944,MA,934.0,2024,"BROOKLINE BANCORP, INC EMPLOYEE STOCK OWNERSHIP PLAN",Y,Mid-Market (500-5K)
BRIGHTSPHERE INC.,42714625,MA,930.0,2024,BRIGHTSPHERE INC. PROFIT SHARING & 401(K) PLAN,Y,Mid-Market (500-5K)
"DEKK GROUP, LLC",205959455,MA,920.0,2024,"THE DEKK GROUP, LLC & AFFILIATES 401(K) PLAN",Y,Mid-Market (500-5K)
A.W. CHESTERTON COMPANY,41173400,MA,917.0,2024,A. W. CHESTERTON COMPANY 401K PLAN,Y,Mid-Market (500-5K)
WOODS HOLE OCEANOGRAPHIC INSTITUTION,42105850,MA,913.0,2024,RETIREMENT PLAN FOR EMPLOYEES OF WOODS HOLE OCEANOGRAPHIC INSTITUTION,Y,Mid-Market (500-5K)
"OPEN SYSTEMS INTERNATIONAL, INC.",411722211,MA,909.0,2024,OPEN SYSTEMS INTERNATIONAL 401(K) PLAN,Y,Mid-Market (500-5K)
"COJE, LLC D/B/A COJE MANAGEMENT GROUP",453526597,MA,908.0,2024,"COJE, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
TPS GROUP HOLDINGS LLC,852245484,MA,907.0,2024,THE PAPER STORE 401(K) PLAN,Y,Mid-Market (500-5K)
SYSTEMS & TECHNOLOGY RESEARCH LLC,273556936,MA,902.0,2024,STR 401(K) RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
RSA SECURITY LLC,271496036,MA,900.0,2024,RSA SECURITY 401(K) PLAN,Y,Mid-Market (500-5K)
"ALEGEUS TECHNOLOGIES, LLC",900808825,MA,895.0,2024,ALEGEUS TECHNOLOGIES LLC 401(K) PLAN,Y,Mid-Market (500-5K)
"SAGE THERAPEUTICS, INC.",274486580,MA,892.0,2024,SAGE 401(K) PLAN,Y,Mid-Market (500-5K)
"PRIMA CARE, P.C.",43286529,MA,892.0,2024,"PRIMA CARE, P. C. PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
"BLUEBIRD BIO, INC.",133680878,MA,891.0,2024,"BLUEBIRD BIO, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
ORSTED NORTH AMERICA INC.,320464144,MA,890.0,2024,ORSTED NORTH AMERICA INC. 401(K) PLAN,Y,Mid-Market (500-5K)
"DEFINITIVE HEALTHCARE, LLC",274296867,MA,889.0,2024,DEFINITIVE HEALTHCARE LLC 401(K) PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
"TRINITY PARTNERS, LLC",300284706,MA,875.0,2024,"TRINITY PARTNERS, LLC 401(K) PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
"DATAROBOT, INC",462709418,MA,865.0,2024,DATAROBOT 401(K) PLAN,Y,Mid-Market (500-5K)
COMMUNITY TEAMWORK INC.,42382027,MA,865.0,2024,"COMMUNITY TEAMWORK, INC. RETIREMENT PLAN",Y,Mid-Market (500-5K)
"TSG ENTERPRISES, LLC",202936675,MA,861.0,2024,TSG ENTERPRISES 401(K) PLAN,Y,Mid-Market (500-5K)
"EASTERN RESEARCH GROUP, INC.",42807100,MA,861.0,2024,"EASTERN RESEARCH GROUP, INC. CASH OR DEFERRED PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
"AZURITY PHARMACEUTICALS, INC.",43450615,MA,852.0,2024,"AZURITY PHARMACEUTICAL, INC. 401(K) PROFIT SHARING PLAN TRUST",Y,Mid-Market (500-5K)
"TECH-ETCH, INC.",42324804,MA,848.0,2024,"TECH-ETCH, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"ZWICKER & ASSOCIATES, P.C.",43131560,MA,846.0,2024,"ZWICKER & ASSOCIATES, P.C. 401(K) PLAN",Y,Mid-Market (500-5K)
"CIRCLE INTERNET FINANCIAL, LLC",463394676,MA,835.0,2024,CIRCLE 401(K) PLAN,Y,Mid-Market (500-5K)
HUMAN SERVICES MANAGEMENT CORP INC,43082246,MA,830.0,2024,HUMAN SERVICES MANAGEMENT CORPORATION 401K AND PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
"THE VERTEX COMPANIES, LLC",203724403,MA,829.0,2024,"THE VERTEX COMPANIES, LLC 401K PLAN",Y,Mid-Market (500-5K)
"RECOVER TOGETHER, INC.",464126690,MA,823.0,2024,RECOVER TOGETHER 401(K) PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
"APELLIS PHARMACEUTICALS, INC.",271537290,MA,818.0,2024,"APELLIS PHARMACEUTICALS, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"BOSTON DYNAMICS, INC.",43170243,MA,817.0,2024,"BOSTON DYNAMICS, INC. 401(K) RETIREMENT PLAN",Y,Mid-Market (500-5K)
"PATHAI, INC.",811778508,MA,817.0,2024,PATHAI 401(K) PLAN,Y,Mid-Market (500-5K)
THE ESSEX GROUP INC.,42557391,MA,816.0,2024,THE ESSEX GROUP INC. 401K PROFIT SHARING PLAN & TRUST,Y,Mid-Market (500-5K)
"WESTON & SAMPSON, INC.",201998367,MA,815.0,2024,"WESTON & SAMPSON, INC. EMPLOYEE STOCK OWNERSHIP PLAN",Y,Mid-Market (500-5K)
FRANCISCAN CHILDREN'S,42156082,MA,813.0,2024,FRANCISCAN CHILDREN'S 401(K) PLAN,Y,Mid-Market (500-5K)
"EVIDENT SCIENTIFIC, INC.",562538906,MA,812.0,2024,EVIDENT SCIENTIFIC 401(K) PLAN,Y,Mid-Market (500-5K)
"ATN INTERNATIONAL, INC.",470728886,MA,811.0,2024,ATN INTERNATIONAL 401(K) PLAN,Y,Mid-Market (500-5K)
"C&W FACILITY SERVICES, INC.",770698582,MA,808.0,2024,C&W SERVICES SECURITY FUND 401(K) PLAN,Y,Mid-Market (500-5K)
"URC, LLC",42953702,MA,800.0,2024,UNO RESTAURANT CORPORATION 401(K) SAVINGS PLAN,Y,Mid-Market (500-5K)
"ALL STATES MATERIALS GROUP, INC.",871118566,MA,793.0,2024,ASMG 401K PLAN AND TRUST,Y,Mid-Market (500-5K)
ISO NEW ENGLAND INC.,43372500,MA,789.0,2024,ISO NEW ENGLAND INC. SUPPLEMENTAL RETIREMENT AND SAVINGS PLAN,Y,Mid-Market (500-5K)
"JOHNSON REAL ESTATE INVESTORS, LLC.",42540540,MA,788.0,2024,"JOHNSON REAL ESTATE INVESTORS, LLC. 401(K) PLAN",Y,Mid-Market (500-5K)
LEDVANCE LLC,810887998,MA,787.0,2024,LEDVANCE LLC 401K SAVINGS PLAN,Y,Mid-Market (500-5K)
BAY STATE MILLING COMPANY,410141850,MA,786.0,2024,THE BAY STATE MILLING COMPANY RETIREMENT PLAN,Y,Mid-Market (500-5K)
"HUTCHINSON AEROSPACE & INDUSTRY, INC.",383539521,MA,785.0,2024,"HUTCHINSON AEROSPACE & INDUSTRY, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
GALAXY US OPCO INC.,873913943,MA,780.0,2024,VIALTO PARTNERS US RETIREMENT PLAN,Y,Mid-Market (500-5K)
MEDICAL PROFESSIONAL MUTUAL INSURANCE COMPANY,42595783,MA,778.0,2024,COVERYS 401(K) RETIREMENT PLAN,Y,Mid-Market (500-5K)
"GOLD MEDAL BAKERY, INC.",42074311,MA,778.0,2024,"GOLD MEDAL BAKERY, INC. EMPLOYEES SUPPLEMENTAL INCOME PLAN",Y,Mid-Market (500-5K)
LYNN COMMUNITY HEALTH INC,42525066,MA,774.0,2024,LYNN COMMUNITY HEALTH CENTER RETIREMENT PLAN,Y,Mid-Market (500-5K)
SAFETY INSURANCE COMPANY,42689624,MA,774.0,2024,SAFETY INSURANCE COMPANY 401K RETIREMENT PLAN,Y,Mid-Market (500-5K)
COASTAL MEDICAL TRANSPORTATION SERVICES LLC,463021900,MA,772.0,2024,CMTS 401(K) PLAN,Y,Mid-Market (500-5K)
COORDINATES OPERATIONS LLC,272192607,MA,767.0,2024,COORDINATES OPERATIONS LLC 401(K) RETIREMENT PLAN,Y,Mid-Market (500-5K)
FAMILY ORTHODONTICS INC,43581871,MA,760.0,2024,FAMILY ORTHODONTICS INC 401(K) PROFIT SHARING PLAN & TRUST,Y,Mid-Market (500-5K)
"AMUNDI US, INC.",135657669,MA,758.0,2024,"AMUNDI US, INC. SAVINGS AND INVESTMENT PLAN",Y,Mid-Market (500-5K)
"INTERWELL HEALTH PARTNERS, INC",881507503,MA,757.0,2024,INTERWELL HEALTH PARTNERS 401(K) SAVINGS PLAN,Y,Mid-Market (500-5K)
"BARKAN MANAGEMENT COMPANY, INC.",42724804,MA,752.0,2024,THE BARKAN COMPANIES 401(K) PLAN,Y,Mid-Market (500-5K)
"DUCK CREEK TECHNOLOGIES, LLC",475654931,MA,750.0,2024,"DUCK CREEK TECHNOLOGIES, LLC SEVERANCE PLAN",Y,Mid-Market (500-5K)
BIONTECH US INC.,463915846,MA,748.0,2024,BIONTECH US 401(K) PLAN,Y,Mid-Market (500-5K)
BLUEPRINT MEDICINES CORPORATION,263632015,MA,748.0,2024,BLUEPRINT MEDICINES CORPORATION 401(K) PLAN,Y,Mid-Market (500-5K)
